Height,Weight
149.4701018,65.70330606
192.6405235,89.36736257
161.2498357,58.02935843
162.859226,88.22372942
169.8550818,55.70975055
166.334779,49.14843004
189.8051479,82.75828362
176.887786,71.87916019
162.6410808,49.4022164
165.0980285,58.41728377
170.3315445,87.79859032
167.8039561,75.43376097
159.0108496,45.73206668
163.9561666,88.59781212
168.2556647,59.21814045
178.130677,82.14876235
183.4163126,80.84797615
161.6305275,52.12280437
166.4805961,52.34127502
164.9113367,62.03225803
167.7438579,58.2274503
153.2236079,49.57198462
179.0234164,84.68969613
172.8520125,60.67306325
186.1701629,83.27056424
185.2943883,82.37050701
169.971833,73.01460851
168.7191244,70.61850996
174.5774285,74.6920581
176.6422776,73.8785467
165.0687639,69.86131183
173.8425889,74.56355898
165.8034775,54.52342147
160.6714122,53.61295494
177.7909576,77.13325838
178.70825,80.03124467
163.0406341,43.87048615
165.5902674,56.76646439
184.2085882,79.07388089
169.5116795,58.50338582
169.6165811,61.06994071
165.5952292,58.06831811
169.9318365,78.32914223
155.6372019,75.07662698
165.928013,55.21983233
164.7643921,58.87408287
162.5010055,45.62651376
189.6935877,91.41048057
170.6217996,70.16049923
166.6141444,68.39950131
165.1985385,54.37579318
192.8587049,85.26929693
163.4381757,91.0275818
167.3008393,70.4742844
158.741223,52.71181611
161.4820798,54.19039624
164.2045919,64.06855293
174.6016069,61.33265947
179.8148147,78.21823831
168.5814389,63.10683839
182.7325298,82.44385117
165.2823966,56.11808697
182.0657317,84.58422799
183.4436298,78.0042679
191.595508,88.39810808
158.4908636,66.41112213
178.9009332,81.8546969
171.7434318,71.77991914
163.5253135,70.99146304
174.6071718,68.05645133
154.3001497,60.4432013
160.9314272,58.59615597
168.1518991,73.12134292
181.9377315,70.05436899
177.8044171,87.58161992
184.5008842,71.5969562
175.8755124,79.8292536
180.8576143,59.59599098
175.1050002,75.50701991
173.1281615,87.79396662
192.1334272,70.21588232
167.3850779,89.30897761
161.0667298,43.86211836
184.4326072,79.42577057
166.4796131,59.07912176
158.432849,65.08032108
161.0363484,57.56364377
167.6932225,70.8562928
158.7268527,54.71456082
184.2220667,72.35094123
162.5263695,68.26003379
163.2659687,46.64029166
175.7826018,75.38092943
179.2833187,89.76241395
173.9269472,78.42784455
177.0827498,78.1504502
174.9636454,73.11668067
160.2473099,73.94268957
164.7749316,72.66105789
189.8825219,81.56696749
162.1891437,55.75364565
165.44055,71.74015157
181.3503144,74.63415298
159.2937659,65.66975531
167.9923617,52.48450917
193.831507,76.37117272
163.6133904,56.98231271
169.6656248,67.81756849
188.3652795,92.3379223
166.3877431,79.11032501
170.2763397,63.24594316
171.4044684,76.81984279
157.0936959,48.1211726
171.3725883,71.78665104
168.3992719,52.47000491
167.9278361,72.39530385
171.9088556,84.57205287
171.3530646,82.39906107
171.3081816,66.97410034
189.5427351,94.91897925
171.225514,65.18707142
160.7321618,54.10113842
168.0795015,79.91926603
182.8632796,77.41418925
175.2738313,61.56591858
168.4759142,73.25877486
162.29515,66.42223807
157.9372981,69.37764533
172.5899,62.63111338
176.2691209,72.8100089
175.5616534,86.9343032
182.6666318,84.77279859
147.0323228,51.54279714
170.952821,65.13008165
161.2504871,80.43365347
179.7073783,58.97978223
156.1125242,55.96629166
164.2006849,64.66153712
163.339062,44.33076347
186.3940068,84.13634313
169.9473433,63.02433907
163.3672095,51.49968986
167.4845481,44.83376584
179.393917,90.30044333
155.5050331,62.43740974
163.6795453,45.67713288
149.7926732,43.9178709
163.2687659,63.62920426
162.1185477,57.04651079
175.6651722,62.50011078
165.5555374,83.79447072
190.1332808,82.71838428
